Date,Close
1980/12/12,0.513393
1980/12/15,0.486607
1980/12/16,0.450893
1980/12/17,0.462054
1980/12/18,0.475446
1980/12/19,0.504464
1980/12/22,0.529018
1980/12/23,0.551339
1980/12/24,0.580357
1980/12/26,0.633929
1980/12/29,0.642857
1980/12/30,0.627232
1980/12/31,0.609375
1981/1/2,0.616071
1981/1/5,0.602679
1981/1/6,0.575893
1981/1/7,0.551339
1981/1/8,0.540179
1981/1/9,0.569196
1981/1/12,0.564732
1981/1/13,0.544643
1981/1/14,0.546875
1981/1/15,0.558036
1981/1/16,0.553571
1981/1/19,0.587054
1981/1/20,0.569196
1981/1/21,0.580357
1981/1/22,0.587054
1981/1/23,0.584821
1981/1/26,0.575893
1981/1/27,0.571429
1981/1/28,0.553571
1981/1/29,0.533482
1981/1/30,0.504464
1981/2/2,0.475446
1981/2/3,0.493304
1981/2/4,0.511161
1981/2/5,0.511161
1981/2/6,0.513393
1981/2/9,0.486607
1981/2/10,0.486607
1981/2/11,0.470982
1981/2/12,0.466518
1981/2/13,0.455357
1981/2/17,0.466518
1981/2/18,0.486607
1981/2/19,0.457589
1981/2/20,0.433036
1981/2/23,0.439732
1981/2/24,0.424107
1981/2/25,0.450893
1981/2/26,0.457589
1981/2/27,0.473214
1981/3/2,0.475446
1981/3/3,0.46875
1981/3/4,0.464286
1981/3/5,0.462054
1981/3/6,0.457589
1981/3/9,0.421875
1981/3/10,0.401786
1981/3/11,0.386161
1981/3/12,0.401786
1981/3/13,0.397321
1981/3/16,0.412946
1981/3/17,0.433036
1981/3/18,0.459821
1981/3/19,0.455357
1981/3/20,0.459821
1981/3/23,0.477679
1981/3/24,0.475446
1981/3/25,0.466518
1981/3/26,0.457589
1981/3/27,0.441964
1981/3/30,0.441964
1981/3/31,0.4375
1981/4/1,0.433036
1981/4/2,0.470982
1981/4/3,0.473214
1981/4/6,0.464286
1981/4/7,0.459821
1981/4/8,0.482143
1981/4/9,0.491071
1981/4/10,0.497768
1981/4/13,0.497768
1981/4/14,0.497768
1981/4/15,0.473214
1981/4/16,0.446429
1981/4/20,0.459821
1981/4/21,0.491071
1981/4/22,0.508929
1981/4/23,0.522321
1981/4/24,0.517857
1981/4/27,0.513393
1981/4/28,0.504464
